title,abstract,authors,url
"""Judge me by my size(noun), do you?"" YodaLib: A Demographic-Aware Humor Generation Framework ","The subjective nature of humor makes computerized humor generation a  challenging task.
We propose an automatic humor generation framework for filling the blanks in Mad Libs® stories, while accounting for the demographic backgrounds of the desired audience. We collect a dataset consisting of such stories, which are filled in and judged by carefully selected workers on Amazon Mechanical Turk. We build upon the BERT platform to predict location-biased word fillings in incomplete sentences, and we fine-tune  BERT to classify location-specific humor in a sentence. We leverage these components to produce YodaLib, a fully-automated Mad Libs style humor generation framework, which selects and ranks appropriate candidate words and sentences in order to generate a coherent and funny story tailored to certain demographics. Our experimental results indicate that YodaLib outperforms a previous semi-automated approach proposed for this task, while also surpassing human annotators in both qualitative and quantitative analyses.","Aparna Garimella, Carmen Banea, Nabil Hossain and Rada Mihalcea",http://arxiv.org/abs/2006.00578v1
"100,000 Podcasts: A Large-Scale Spoken Document Corpus ","As an audio format, podcasts are more varied in style and production type than broadcast news, contain more genres than typically studied in video data, and are more varied in style and format than previous corpora of conversations. When transcribed with Automatic Speech Recognition (ASR) they represent a noisy but fascinating collection of text which can be studied through the lens of NLP, IR, and linguistics. Paired with the audio files, they are also a resource for speech processing and the study of paralinguistic, sociolinguistic, and acoustic aspects of the domain.
We introduce a new corpus of 100,000 podcasts, and demonstrate the complexity of the domain with a case study of two tasks: (1) passage search and (2) summarization. This is orders of magnitude larger than previous speech corpora used for search and summarization.
Our results show that the size and variability of this corpus opens up new avenues for research.","Ann Clifton, Sravana Reddy, Yongze Yu, Aasish Pappu, Rezvaneh Rezapour, Hamed Bonab, Jussi Karlgren, Ben Carterette and Rosie Jones",http://arxiv.org/abs/1801.07746v2
A BERT-based Dual Embedding Model for Chinese Idiom Prediction ,"Chinese idioms are fixed phrases that have special meanings usually derived from an ancientstory. The meanings of these idioms are oftentimes not directly related to their component char-acters.  In this paper, we propose a BERT-based dual embedding model for the Chinese idiomprediction task, where given a context with a missing Chinese idiom and a set of candidate id-ioms, the model needs to find the correct idiom to fill in the blank.  Our method is based on theobservation that some part of an idiom’s meaning comes from a long-range context that containstopical information, and part of its meaning comes from a local context that encodes more of itssyntactic usage. We therefore propose to use BERT to process the contextual words and to matchthe embedding of each candidate idiom with both the hidden representation corresponding tothe blank in the context and the hidden representations of all the tokens in the context thoroughcontext pooling.  We further propose to use two separate idiom embeddings for the two kindsof matching. Experiments on a recently released Chinese idiom cloze test dataset show that ourproposed method performs better than existing state of the art.  Ablation experiments also showthat both context pooling and dual embedding contribute to the performance improvement.",Minghuan Tan and Jing Jiang,http://arxiv.org/abs/2011.02378v1
A Closer Look at Linguistic Knowledge in Masked Language Models: The Case of Relative Clauses in American English ,"Transformer-based language models achieve high performance on various task, but we still lack understanding of the kind of linguistic knowledge they learn and rely on. We evaluate three models (BERT, RoBERTa, and ALBERT), testing their grammatical and semantic knowledge by sentence-level probing, diagnostic cases, and masked prediction tasks. We focus on relative clauses (in American English) as a complex phenomenon needing contextual information and antecedent identification to be resolved. Based on a naturalistic dataset, probing shows that all three models indeed capture linguistic knowledge about grammaticality, achieving high performance. Evaluation on diagnostic cases and masked prediction tasks considering fine-grained linguistic knowledge, however, shows pronounced model-specific weaknesses especially on semantic knowledge, strongly impacting models’ performance. Our results highlight the importance of model comparison in evaluation task and building up claims of model performance and captured linguistic knowledge beyond purely probing-based evaluations.","Marius Mosbach, Stefania Degaetano-Ortlieb, Marie-Pauline Krielke, Badr Abdullah and Dietrich Klakow",http://arxiv.org/abs/2011.00960v1
A Co-Attentive Cross-Lingual Neural Model for Dialogue Breakdown Detection ,"Ensuring smooth communication is essential in a chat-oriented dialogue system, so that a user can obtain meaningful responses through interactions with the system.
Most prior work on dialogue research does not focus on preventing dialogue breakdown.
One of the major challenges is that a dialogue system may generate an undesired utterance leading to a dialogue breakdown, which degrades the overall interaction quality. Hence, it is crucial for a machine to detect dialogue breakdowns in an ongoing conversation. In this paper, we propose a novel dialogue breakdown detection model that jointly incorporates a pretrained cross-lingual language model and a co-attention network. Our proposed model leverages effective word embeddings trained on one hundred different languages to generate contextualized representations. Co-attention aims to capture the interaction between the latest utterance and the conversation history, and thereby determines whether the latest utterance causes a dialogue breakdown. Experimental results show that our proposed model outperforms all previous approaches on all evaluation metrics in both the Japanese and English tracks in Dialogue Breakdown Detection Challenge 4 (DBDC4 at IWSDS2019).","Qian Lin, Souvik Kundu and Hwee Tou Ng",http://arxiv.org/abs/1805.06280v1
A Comprehensive Evaluation of Incremental Speech Recognition and Diarization for Conversational AI ,"Automatic Speech Recognition (ASR) systems are increasingly powerful and more accurate, but also more numerous with several options existing currently as a service (e.g. Google, IBM, and Microsoft). Currently the most stringent standards for such systems are set within the context of their use in, and for, Conversational AI technology. These systems are expected to operate incrementally in real-time, be responsive, stable, and robust to the pervasive yet peculiar characteristics of conversational speech such as disfluencies and overlaps. In this paper we evaluate the most popular of such systems with metrics and experiments designed with these standards in mind. We also evaluate the speaker diarization (SD) capabilities of the same systems which will be particularly important for dialogue systems designed to handle multi-party interaction. We found that Microsoft has the leading incremental ASR system which preserves disfluent materials and IBM has the leading incremental SD system in addition to the ASR that is most robust to speech overlaps. Google strikes a balance between the two but none of these systems are yet suitable to reliably handle natural spontaneous conversations in real-time.","Angus Addlesee, Yanchao Yu and Arash Eshghi",http://arxiv.org/abs/1909.08090v2
A Contextual Alignment Enhanced Cross Graph Attention Network for Cross-lingual Entity Alignment ,"Cross-lingual entity alignment, which aims to match equivalent entities in KGs with different languages, has attracted considerable focus in recent years.  Recently, many graph neural network (GNN) based methods are proposed for entity alignment and obtain promising results. However, existing GNN-based methods consider the two KGs independently and learn embeddings for different KGs separately, which ignore the useful pre-aligned links between two KGs.  In this paper, we propose a novel Contextual Alignment Enhanced Cross Graph Attention Network (CAECGAT) for the task of cross-lingual entity alignment, which is able to jointly learn the embeddings in different KGs by propagating cross-KG information through pre-aligned seed alignments. We conduct extensive experiments on three benchmark cross-lingual entity alignment datasets. The experimental results demonstrate that our proposed method obtains remarkable performance gains compared to state-of-the-art methods.","Zhiwen Xie, Runjie Zhu, Kunsong Zhao, Jin Liu, Guangyou Zhou and Jimmy Xiangji Huang",http://arxiv.org/abs/1905.11605v3
A Corpus for Argumentative Writing Support in German ,"In this paper, we present a novel annotation approach to capture claims and premises of arguments and their relations in student-written persuasive peer reviews on business models in German language. We propose an annotation scheme based on annotation guidelines that allows to model claims and premises as well as support and attack relations for capturing the structure of argumentative discourse in student-written peer reviews. We conduct an annotation study with three annotators on 50 persuasive essays to evaluate our annotation scheme. The obtained inter-rater agreement of α = 0.57 for argument components and α = 0.49 for argumentative relations indicates that the proposed annotation scheme successfully guides annotators to moderate agreement. Finally, we present our freely available corpus of 1,000 persuasive student-written peer reviews on business models and our annotation guidelines to encourage future research on the design and development of argumentative writing support systems for students.","Thiemo Wambsganss, Christina Niklaus, Matthias Söllner, Siegfried Handschuh and Jan Marco Leimeister",http://arxiv.org/abs/2010.13674v1
A Dataset and Evaluation Framework for Complex Geographical Description Parsing ,"Much previous work on geoparsing has focused on identifying and resolving individual toponyms in text like Adrano, S.Maria di Licodia or Catania. However, geographical locations occur not only as individual toponyms, but also as compositions of reference geolocations joined and modified by connectives, e.g., ""...between the towns of Adrano and S.Maria di Licodia, 32 kilometres northwest of Catania"". Ideally, a geoparser should be able to take such text, and the geographical shapes of the toponyms referenced within it, and parse these into a geographical shape, formed by a set of coordinates, that represents the location described. But creating a dataset for this complex geoparsing task is difficult and, if done manually, would require a huge amount of effort to annotate the geographical shapes of not only the geolocation described but also the reference toponyms. We present an approach that automates most of the process by combining Wikipedia and OpenStreetMap. As a result, we have gathered a collection of 329,264 uncurated complex geolocation descriptions, from which we have manually curated 1,000 examples intended to be used as a test set. To accompany the data, we define a new geoparsing evaluation framework along with a scoring methodology and a set of baselines.",Egoitz Laparra and Steven Bethard,http://arxiv.org/abs/1804.08256v1
A Deep Generative Approach to Native Language Identification ,"Native language identification (NLI) – identifying the native language (L1) of a person based on his/her writing in the second language (L2) – is useful for a variety of purposes, including marketing, security, and educational applications.  From a traditional machine learning perspective,NLI is usually framed as a multi-class classification task, where numerous designed features are combined in order to achieve the state-of-the-art results.  We introduce a deep generative language modelling (LM) approach to NLI, which consists in fine-tuning a GPT-2 model separately on texts written by the authors with the same L1, and assigning a label to an unseen text based on the minimum LM loss with respect to one of these fine-tuned GPT-2 models.  Our method outperforms traditional machine learning approaches and currently achieves the best results on the benchmark NLI datasets.","Ehsan Lotfi, Ilia Markov and Walter Daelemans",http://arxiv.org/abs/1712.08992v2
A Deep Generative Distance-Based Classifier for Out-of-Domain Detection with Mahalanobis Space ,"Detecting out-of-domain (OOD) input intents is critical in the task-oriented dialog system. Different from most existing methods that rely heavily on manually labeled OOD samples, we focus on the unsupervised OOD detection scenario where there are no labeled OOD samples except for labeled in-domain data. In this paper, we propose a simple but strong generative distance-based classifier to detect OOD samples. We estimate the class-conditional distribution on feature spaces of DNNs via Gaussian discriminant analysis (GDA) to avoid over-confidence problems. And we use two distance functions, Euclidean and Mahalanobis distances, to measure the confidence score of whether a test sample belongs to OOD. Experiments on four benchmark datasets show that our method can consistently outperform the baselines.","Hong Xu, Keqing He, Yuanmeng Yan, Sihong Liu, Zijun Liu and Weiran XU",http://arxiv.org/abs/2101.00122v1
A Deep Metric Learning Method for Biomedical Passage Retrieval ,"Passage retrieval is the task of identifying text snippets that are valid answers for a natural language posed question.   One way to address this problem is to look at it as a metric learning problem, where we want to induce a metric between questions and passages that assign smaller distances to more relevant passages. In this work, we present a novel method for passage retrieval that learns a metric for questions and passages based on their internal semantic interactions. The method uses a similar approach to that of triplet networks, where the training samples are com-posed of one anchor (the question) and two positive and negative samples (passages). However,and in contrast with triplet networks, the proposed method uses a novel deep architecture that better exploits the particularities of text and takes into consideration complementary relatedness measures.  Besides, the paper presents a sampling strategy that selects both easy and hard negative samples which improve the accuracy of the trained model.  The method is particularly well suited for domain-specific passage retrieval where it is very important to take into account different sources of information.  The proposed approach was evaluated in a biomedical passage retrieval task, the BioASQ challenge, outperforming standard triplet loss substantially by 10%,and state-of-the-art performance by 26%.","Andrés Rosso-Mateus, Fabio A. González and Manuel Montes-y-Gómez",http://arxiv.org/abs/1906.02083v1
A Document-Level Neural Machine Translation Model with Dynamic Caching Guided by Theme-Rheme Information ,"Research on document-level Neural Machine Translation (NMT) models has attracted increasing attention in recent years. Although the proposed works have proved that the inter-sentence information is helpful for improving the performance of the NMT models, what information should be regarded as context remains ambiguous. To solve this problem, we proposed a novel cache-based document-level NMT model which conducts dynamic caching guided by theme-rheme information. The experiments on NIST evaluation sets demonstrate that our proposed model achieves substantial improvements over the state-of-the-art baseline NMT models. As far as we know, we are the first to introduce theme-rheme theory into the field of machine translation.","Yiqi Tong, Jiangbin Zheng, Hongkang Zhu, Yidong Chen and xiaodong shi",http://arxiv.org/abs/1711.09367v1
A Geometry-Inspired Attack for Generating Natural Language Adversarial Examples ,"Generating adversarial examples for natural language is hard, as natural language consists of discrete symbols, and examples are often of variable lengths. In this paper, we propose a geometry-inspired attack for generating natural language adversarial examples. Our attack generates adversarial examples by iteratively approximating the decision boundary of Deep Neural Networks (DNNs). Experiments on two datasets with two different models show that our attack fools natural language models with high success rates, while only replacing a few words. Human evaluation shows that adversarial examples generated by our attack are hard for humans to recognize. Further experiments show that adversarial training can improve model robustness against our attack.",Zhao Meng and Roger Wattenhofer,http://arxiv.org/abs/2010.01345v1
A Graph Representation of Semi-structured Data for Web Question Answering ,"The abundant semi-structured data on the Web, such as HTML-based tables and lists, provide commercial search engines a rich information source for question answering (QA). Different from plain text passages in Web documents, Web tables and lists have inherent structures, which carry semantic correlations among various elements in tables and lists. Many existing studies treat tables and lists as flat documents with pieces of text and do not make good use of semantic information hidden in structures. In this paper, we propose a novel graph representation of Web tables and lists based on a systematic categorization of the components in semi-structured data as well as their relations. We also develop pre-training and reasoning techniques on the graph model for the QA task. Extensive experiments on several real datasets collected from a commercial engine verify the effectiveness of our approach. Our method improves F1 score by 3.90 points over the state-of-the-art baselines.","xingyao zhang, Linjun Shou, Jian Pei, Ming Gong, Lijie Wen and Daxin Jiang",http://arxiv.org/abs/2010.06801v1
A hierarchical approach to automatic vision to language generation: from simple sentences to complex natural language ,"Automatically describing videos in natural language is an ambitious problem, which could bridge our understanding of vision and language. We propose a hierarchical approach, by first generating video descriptions as sequences of simple sentences, followed at the next level by a more complex and fluent description in natural language. While the simple sentences describe simple actions in the form of
(subject, verb, object), the second-level paragraph descriptions, indirectly using information from the first-level description, presents the visual content in a more compact, coherent and semantically rich manner. 
To this end, we introduce the first video dataset in the literature that is annotated with captions at two levels of linguistic complexity. We perform extensive tests that demonstrate that our hierarchical linguistic representation, from simple to complex language, allows us to train a two-stage network that is able to generate significantly more complex paragraphs than current one-stage approaches.","Simion-Vlad Bogolin, Ioana Croitoru and Marius Leordeanu",http://arxiv.org/abs/1611.06607v2
A High Precision Pipeline for Financial Knowledge Graph Construction ,"Motivated by applications such as question answering, fact checking, and data integration, there is significant interest in constructing knowledge graphs by extracting information from unstructured information sources, particularly text documents.  Knowledge graphs have emerged as a standard for structured knowledge representation, whereby entities and their inter-relations are represented and  conveniently stored as (subject,predicate,object) triples in a graph that  can be used to power various downstream applications.  The proliferation of financial news sources reporting on companies, markets, currencies, and stocks presents an opportunity for extracting valuable knowledge about this crucial domain. In this paper, we focus on constructing a knowledge graph automatically by information extraction from a large corpus of financial news articles. For that purpose, we develop a high precision knowledge extraction pipeline tailored for the financial domain. This pipeline combines multiple information extraction techniques with a financial dictionary that we built, all working together to produce over 342,000 compact extractions from over 288,000 financial news articles, with a precision of 78% at the top-100 extractions.The extracted triples are stored in a knowledge graph making them readily available for use in downstream applications.","Sarah Elhammadi, Laks V.S. Lakshmanan, Raymond Ng, Michael Simpson, Baoxing Huai, Zhefeng Wang and Lanjun Wang",http://arxiv.org/abs/physics/0701061v1
A Human Evaluation of AMR-to-English Generation Systems ,"Most current state-of-the art systems for generating English text from Abstract Meaning Representation (AMR) have been evaluated only using automated metrics, such as BLEU, which are known to be problematic for natural language generation. In this work, we present the results of a new human evaluation which collects fluency and adequacy scores, as well as categorization of error types, for several recent AMR generation systems. We discuss the relative quality of these systems and how our results compare to those of automatic metrics, finding that while the metrics are mostly successful in ranking systems overall, collecting human judgments allows for more nuanced comparisons. We also analyze common errors made by these systems.","Emma Manning, Shira Wein and Nathan Schneider",http://arxiv.org/abs/1901.00398v2
