title,abstract,authors,link,detail
PLATO: Pre-trained Dialogue Generation Model with Discrete Latent Variable,"Pre-training models have been proved effective for a wide range of natural language processing tasks. Inspired by this, we propose a novel dialogue generation pre-training framework to support various kinds of conversations, including chit-chat, knowledge grounded dialogues, and conversational question answering. In this framework, we adopt flexible attention mechanisms to fully leverage the bi-directional context and the uni-directional characteristic of language generation. We also introduce discrete latent variables to tackle the inherent one-to-many mapping problem in response generation. Two reciprocal tasks of response generation and latent act recognition are designed and carried out simultaneously within a shared network. Comprehensive experiments on three publicly available datasets verify the effectiveness and superiority of the proposed framework.","Siqi Bao,Huang He,Fan Wang,Hua Wu,Haifeng Wang",https://www.aclweb.org/anthology/2020.acl-main.9.pdf,https://www.aclweb.org/anthology/2020.acl-main.9/
Fluent Response Generation for Conversational Question Answering,"Question answering (QA) is an important aspect of open-domain conversational agents, garnering specific research focus in the conversational QA (ConvQA) subtask. One notable limitation of recent ConvQA efforts is the response being answer span extraction from the target corpus, thus ignoring the natural language generation (NLG) aspect of high-quality conversational agents. In this work, we propose a method for situating QA responses within a SEQ2SEQ NLG approach to generate fluent grammatical answer responses while maintaining correctness. From a technical perspective, we use data augmentation to generate training data for an end-to-end system. Specifically, we develop Syntactic Transformations (STs) to produce question-specific candidate answer responses and rank them using a BERT-based classifier (Devlin et al., 2019). Human evaluation on SQuAD 2.0 data (Rajpurkar et al., 2018) demonstrate that the proposed model outperforms baseline CoQA and QuAC models in generating conversational responses. We further show our model’s scalability by conducting tests on the CoQA dataset. The code and data are available at https://github.com/abaheti95/QADialogSystem.","Ashutosh Baheti,Alan Ritter,Kevin Small",https://www.aclweb.org/anthology/2020.acl-main.19.pdf,https://www.aclweb.org/anthology/2020.acl-main.19/
Generating Diverse and Consistent QA pairs from Contexts with Information-Maximizing Hierarchical Conditional VAEs,"One of the most crucial challenges in question answering (QA) is the scarcity of labeled data, since it is costly to obtain question-answer (QA) pairs for a target text domain with human annotation. An alternative approach to tackle the problem is to use automatically generated QA pairs from either the problem context or from large amount of unstructured texts (e.g. Wikipedia). In this work, we propose a hierarchical conditional variational autoencoder (HCVAE) for generating QA pairs given unstructured texts as contexts, while maximizing the mutual information between generated QA pairs to ensure their consistency. We validate our Information Maximizing Hierarchical Conditional Variational AutoEncoder (Info-HCVAE) on several benchmark datasets by evaluating the performance of the QA model (BERT-base) using only the generated QA pairs (QA-based evaluation) or by using both the generated and human-labeled pairs (semi-supervised learning) for training, against state-of-the-art baseline models. The results show that our model obtains impressive performance gains over all baselines on both tasks, using only a fraction of data for training.","Dong Bok Lee,Seanie Lee,Woo Tae Jeong,Donghwan Kim,Sung Ju Hwang",https://www.aclweb.org/anthology/2020.acl-main.20.pdf,https://www.aclweb.org/anthology/2020.acl-main.20/
A Methodology for Creating Question Answering Corpora Using Inverse Data Annotation,"In this paper, we introduce a novel methodology to efficiently construct a corpus for question answering over structured data. For this, we introduce an intermediate representation that is based on the logical query plan in a database, called Operation Trees (OT). This representation allows us to invert the annotation process without loosing flexibility in the types of queries that we generate. Furthermore, it allows for fine-grained alignment of the tokens to the operations. Thus, we randomly generate OTs from a context free grammar and annotators just have to write the appropriate question and assign the tokens. We compare our corpus OTTA (Operation Trees and Token Assignment), a large semantic parsing corpus for evaluating natural language interfaces to databases, to Spider and LC-QuaD 2.0 and show that our methodology more than triples the annotation speed while maintaining the complexity of the queries. Finally, we train a state-of-the-art semantic parsing model on our data and show that our dataset is a challenging dataset and that the token alignment can be leveraged to significantly increase the performance.","Jan Deriu,Katsiaryna Mlynchyk,Philippe Schläpfer,Alvaro Rodrigo,Dirk von Grünigen,Nicolas Kaiser,Kurt Stockinger,Eneko Agirre,Mark Cieliebak",https://www.aclweb.org/anthology/2020.acl-main.84.pdf,https://www.aclweb.org/anthology/2020.acl-main.84/
Contextualized Sparse Representations for Real-Time Open-Domain Question Answering,"Open-domain question answering can be formulated as a phrase retrieval problem, in which we can expect huge scalability and speed benefit but often suffer from low accuracy due to the limitation of existing phrase representation models. In this paper, we aim to improve the quality of each phrase embedding by augmenting it with a contextualized sparse representation (Sparc). Unlike previous sparse vectors that are term-frequency-based (e.g., tf-idf) or directly learned (only few thousand dimensions), we leverage rectified self-attention to indirectly learn sparse vectors in n-gram vocabulary space. By augmenting the previous phrase retrieval model (Seo et al., 2019) with Sparc, we show 4%+ improvement in CuratedTREC and SQuAD-Open. Our CuratedTREC score is even better than the best known retrieve & read model with at least 45x faster inference speed.","Jinhyuk Lee,Minjoon Seo,Hannaneh Hajishirzi,Jaewoo Kang",https://www.aclweb.org/anthology/2020.acl-main.85.pdf,https://www.aclweb.org/anthology/2020.acl-main.85/
Learning to Identify Follow-Up Questions in Conversational Question Answering,"Despite recent progress in conversational question answering, most prior work does not focus on follow-up questions. Practical conversational question answering systems often receive follow-up questions in an ongoing conversation, and it is crucial for a system to be able to determine whether a question is a follow-up question of the current conversation, for more effective answer finding subsequently. In this paper, we introduce a new follow-up question identification task. We propose a three-way attentive pooling network that determines the suitability of a follow-up question by capturing pair-wise interactions between the associated passage, the conversation history, and a candidate follow-up question. It enables the model to capture topic continuity and topic shift while scoring a particular candidate follow-up question. Experiments show that our proposed three-way attentive pooling network outperforms all baseline systems by significant margins.","Souvik Kundu,Qian Lin,Hwee Tou Ng",https://www.aclweb.org/anthology/2020.acl-main.90.pdf,https://www.aclweb.org/anthology/2020.acl-main.90/
Query Graph Generation for Answering Multi-hop Complex Questions from Knowledge Bases,"Previous work on answering complex questions from knowledge bases usually separately addresses two types of complexity: questions with constraints and questions with multiple hops of relations. In this paper, we handle both types of complexity at the same time. Motivated by the observation that early incorporation of constraints into query graphs can more effectively prune the search space, we propose a modified staged query graph generation method with more flexible ways to generate query graphs. Our experiments clearly show that our method achieves the state of the art on three benchmark KBQA datasets.","Yunshi Lan,Jing Jiang",https://www.aclweb.org/anthology/2020.acl-main.91.pdf,https://www.aclweb.org/anthology/2020.acl-main.91/
Towards Conversational Recommendation over Multi-Type Dialogs,"We focus on the study of conversational recommendation in the context of multi-type dialogs, where the bots can proactively and naturally lead a conversation from a non-recommendation dialog (e.g., QA) to a recommendation dialog, taking into account user’s interests and feedback. To facilitate the study of this task, we create a human-to-human Chinese dialog dataset DuRecDial (about 10k dialogs, 156k utterances), where there are multiple sequential dialogs for a pair of a recommendation seeker (user) and a recommender (bot). In each dialog, the recommender proactively leads a multi-type dialog to approach recommendation targets and then makes multiple recommendations with rich interaction behavior. This dataset allows us to systematically investigate different parts of the overall problem, e.g., how to naturally lead a dialog, how to interact with users for recommendation. Finally we establish baseline results on DuRecDial for future studies.","Zeming Liu,Haifeng Wang,Zheng-Yu Niu,Hua Wu,Wanxiang Che,Ting Liu",https://www.aclweb.org/anthology/2020.acl-main.98.pdf,https://www.aclweb.org/anthology/2020.acl-main.98/
The TechQA Dataset,"We introduce TECHQA, a domain-adaptation question answering dataset for the technical support domain. The TECHQA corpus highlights two real-world issues from the automated customer support domain. First, it contains actual questions posed by users on a technical forum, rather than questions generated specifically for a competition or a task. Second, it has a real-world size – 600 training, 310 dev, and 490 evaluation question/answer pairs – thus reflecting the cost of creating large labeled datasets with actual data. Hence, TECHQA is meant to stimulate research in domain adaptation rather than as a resource to build QA systems from scratch. TECHQA was obtained by crawling the IBMDeveloper and DeveloperWorks forums for questions with accepted answers provided in an IBM Technote—a technical document that addresses a specific technical issue. We also release a collection of the 801,998 Technotes available on the web as of April 4, 2019 as a companion resource that can be used to learn representations of the IT domain language.","Vittorio Castelli,Rishav Chakravarti,Saswati Dana,Anthony Ferritto,Radu Florian,Martin Franz,Dinesh Garg,Dinesh Khandelwal,Scott McCarley,Michael McCawley,Mohamed Nasr,Lin Pan,Cezar Pendus,John Pitrelli,Saurabh Pujar,Salim Roukos,Andrzej Sakrajda,Avi Sil,Rosario Uceda-Sosa,Todd Ward,Rong Zhang",https://www.aclweb.org/anthology/2020.acl-main.117.pdf,https://www.aclweb.org/anthology/2020.acl-main.117/
Bridging Anaphora Resolution as Question Answering,"Most previous studies on bridging anaphora resolution (Poesio et al., 2004; Hou et al., 2013b; Hou, 2018a) use the pairwise model to tackle the problem and assume that the gold mention information is given. In this paper, we cast bridging anaphora resolution as question answering based on context. This allows us to find the antecedent for a given anaphor without knowing any gold mention information (except the anaphor itself). We present a question answering framework (BARQA) for this task, which leverages the power of transfer learning. Furthermore, we propose a novel method to generate a large amount of “quasi-bridging” training data. We show that our model pre-trained on this dataset and fine-tuned on a small amount of in-domain dataset achieves new state-of-the-art results for bridging anaphora resolution on two bridging corpora (ISNotes (Markert et al., 2012) and BASHI (Ro ̈siger, 2018)).",Yufang Hou,https://www.aclweb.org/anthology/2020.acl-main.132.pdf,https://www.aclweb.org/anthology/2020.acl-main.132/
